"id","source","institution","setting","type","label","from","to","subject","attachment","body","text"
"synth_45","Synthetic (LLM-generated for this project)","fictional","university","MFA rollout notice","0","IT Services <itservices@westmoor.ac.uk>","all staff","Multi-factor authentication: set-up required by 1 October","","Dear colleagues,

From 1 October, multi-factor authentication (MFA) will be required for all staff accounts. Please set up the Authenticator app on your phone before then using the guide on the IT Services intranet pages (search 'MFA').

IT Services will never ask you for your password by email or phone. If you receive a message asking for it, report it using the 'Report phishing' button in Outlook.

Drop-in help sessions run in the library every lunchtime this week.

IT Services","Multi-factor authentication: set-up required by 1 October Dear colleagues,

From 1 October, multi-factor authentication (MFA) will be required for all staff accounts. Please set up the Authenticator app on your phone before then using the guide on the IT Services intranet pages (search 'MFA').

IT Services will never ask you for your password by email or phone. If you receive a message asking for it, report it using the 'Report phishing' button in Outlook.

Drop-in help sessions run in the library every lunchtime this week.

IT Services"
"synth_46","Synthetic (LLM-generated for this project)","fictional","university","Planned maintenance","0","IT Services <itservices@westmoor.ac.uk>","all users","Planned maintenance: Moodle unavailable Saturday 06:00–10:00","","Moodle will be unavailable on Saturday 13 September between 06:00 and 10:00 for a scheduled upgrade. No action is needed. Assignments due during this window have been extended automatically.

IT Services","Planned maintenance: Moodle unavailable Saturday 06:00–10:00 Moodle will be unavailable on Saturday 13 September between 06:00 and 10:00 for a scheduled upgrade. No action is needed. Assignments due during this window have been extended automatically.

IT Services"
"synth_47","Synthetic (LLM-generated for this project)","fictional","secondary school","Password policy change","0","Severn Vale Academy Trust IT <it@severnvaletrust.org.uk>","all staff","Change to password policy from November","","Dear all,

From November, passwords will need to be at least 14 characters and will no longer expire every 90 days. You will be prompted to change your password once when the new policy starts. Nothing needs to be done before then.

A reminder that the IT team will never ask for your password. Any email requesting it should be reported.

Trust IT Team","Change to password policy from November Dear all,

From November, passwords will need to be at least 14 characters and will no longer expire every 90 days. You will be prompted to change your password once when the new policy starts. Nothing needs to be done before then.

A reminder that the IT team will never ask for your password. Any email requesting it should be reported.

Trust IT Team"
"synth_48","Synthetic (LLM-generated for this project)","fictional","secondary school","Payroll date change","0","Severn Vale Academy Trust HR <hr@severnvaletrust.org.uk>","all staff","December pay date","","Dear colleagues,

As in previous years, December salaries will be paid early, on Friday 19 December, because of the Christmas closure. Payslips will be available on the HR portal from 17 December.

HR Team","December pay date Dear colleagues,

As in previous years, December salaries will be paid early, on Friday 19 December, because of the Christmas closure. Payslips will be available on the HR portal from 17 December.

HR Team"
"synth_49","Synthetic (LLM-generated for this project)","fictional","university","Pension auto-enrolment","0","Pensions Team <pensions@avonside.ac.uk>","new staff","Your pension enrolment","","Dear colleague,

As a new member of staff you have been automatically enrolled in the university pension scheme. Your contribution rate and the employer contribution are shown on your first payslip. You can opt out within one month if you wish; the form is on the HR intranet.

If you have questions, book an appointment with the Pensions Team through the HR portal.

Pensions Team","Your pension enrolment Dear colleague,

As a new member of staff you have been automatically enrolled in the university pension scheme. Your contribution rate and the employer contribution are shown on your first payslip. You can opt out within one month if you wish; the form is on the HR intranet.

If you have questions, book an appointment with the Pensions Team through the HR portal.

Pensions Team"
"synth_50","Synthetic (LLM-generated for this project)","fictional","secondary school","Benefits window","0","Severn Vale Academy Trust HR <hr@severnvaletrust.org.uk>","all staff","Cycle to Work and childcare vouchers – applications open","","Applications for the Cycle to Work scheme and the childcare voucher scheme are open until 31 October. Details and the application forms are on the HR intranet under 'Benefits'.

HR Team","Cycle to Work and childcare vouchers – applications open Applications for the Cycle to Work scheme and the childcare voucher scheme are open until 31 October. Details and the application forms are on the HR intranet under 'Benefits'.

HR Team"
"synth_51","Synthetic (LLM-generated for this project)","fictional","secondary school","Staff survey","0","Brookmere High School <office@brookmerehigh.org.uk>","all staff","Staff wellbeing survey – closes Friday","","A reminder that the anonymous staff wellbeing survey closes this Friday. The link is on the staff intranet homepage. Thank you to everyone who has already completed it.

SLT","Staff wellbeing survey – closes Friday A reminder that the anonymous staff wellbeing survey closes this Friday. The link is on the staff intranet homepage. Thank you to everyone who has already completed it.

SLT"
"synth_52","Synthetic (LLM-generated for this project)","fictional","secondary school","Snow closure (urgent, legitimate)","0","Brookmere High School <office@brookmerehigh.org.uk>","parents and carers","URGENT: School closed today due to snow","","Dear parents and carers,

Due to heavy snow and dangerous conditions on local roads, the school is CLOSED to all pupils today, Tuesday 13 January. Work has been set on Google Classroom. We will update the school website and text parents by 6pm about tomorrow.

Please stay safe.

School Office","URGENT: School closed today due to snow Dear parents and carers,

Due to heavy snow and dangerous conditions on local roads, the school is CLOSED to all pupils today, Tuesday 13 January. Work has been set on Google Classroom. We will update the school website and text parents by 6pm about tomorrow.

Please stay safe.

School Office"
"synth_53","Synthetic (LLM-generated for this project)","fictional","secondary school","Exam timetable","0","Exams Office <exams@brookmerehigh.org.uk>","Year 11 pupils and parents","Mock exam timetable – November","","Dear pupils and parents,

The Year 11 mock exam timetable is now on the school website and has been given to pupils in form time. Exams start on Monday 10 November. Pupils must arrive 15 minutes before each exam with clear pencil cases and water in a clear bottle.

Please contact the Exams Office via the school office with any queries.

Exams Office","Mock exam timetable – November Dear pupils and parents,

The Year 11 mock exam timetable is now on the school website and has been given to pupils in form time. Exams start on Monday 10 November. Pupils must arrive 15 minutes before each exam with clear pencil cases and water in a clear bottle.

Please contact the Exams Office via the school office with any queries.

Exams Office"
"synth_54","Synthetic (LLM-generated for this project)","fictional","secondary school","Results day arrangements","0","Exams Office <exams@brookmerehigh.org.uk>","Year 11 pupils","GCSE results day – Thursday 20 August","","GCSE results will be available for collection from the main hall between 9am and 11am on Thursday 20 August. Please bring photo ID. If you cannot collect in person, results can be sent by post if you leave a stamped addressed envelope with the Exams Office before the end of term.

Exams Office","GCSE results day – Thursday 20 August GCSE results will be available for collection from the main hall between 9am and 11am on Thursday 20 August. Please bring photo ID. If you cannot collect in person, results can be sent by post if you leave a stamped addressed envelope with the Exams Office before the end of term.

Exams Office"
"synth_55","Synthetic (LLM-generated for this project)","fictional","university","Coursework deadline","0","Dr Helen Ashworth <h.ashworth@avonside.ac.uk>","module students","CS2041 coursework deadline – Friday 24 October, 2pm","","Hi everyone,

A reminder that the CS2041 coursework is due on Friday 24 October at 2pm via Turnitin on Moodle. Late submissions incur the standard penalty unless you have an approved extension.

I'll run a drop-in session on Wednesday at 12 in room 3.14 if you have questions.

Helen","CS2041 coursework deadline – Friday 24 October, 2pm Hi everyone,

A reminder that the CS2041 coursework is due on Friday 24 October at 2pm via Turnitin on Moodle. Late submissions incur the standard penalty unless you have an approved extension.

I'll run a drop-in session on Wednesday at 12 in room 3.14 if you have questions.

Helen"
"synth_56","Synthetic (LLM-generated for this project)","fictional","university","Library loan due with fine","0","Library Services <library@westmoor.ac.uk>","student","Items due tomorrow","","The following items are due for return tomorrow:

- Introduction to Statistical Learning (2nd ed.)
- Data Science for Business

You can renew online through your library account or by visiting the library. Overdue items incur a charge of 20p per day.

Library Services","Items due tomorrow The following items are due for return tomorrow:

- Introduction to Statistical Learning (2nd ed.)
- Data Science for Business

You can renew online through your library account or by visiting the library. Overdue items incur a charge of 20p per day.

Library Services"
"synth_57","Synthetic (LLM-generated for this project)","fictional","university","Tuition fee invoice (legitimate)","0","Finance Office <fees@westmoor.ac.uk>","student","Tuition fee invoice 2026/27","","Dear student,

Your tuition fee invoice for 2026/27 is now available in the student portal under 'My Finances'. If your fees are paid by Student Finance England, no action is needed. If you are self-funding, the first instalment is due by 31 October and can be paid through the portal.

For queries, contact the Finance Office on 0117 000 0001.

Finance Office","Tuition fee invoice 2026/27 Dear student,

Your tuition fee invoice for 2026/27 is now available in the student portal under 'My Finances'. If your fees are paid by Student Finance England, no action is needed. If you are self-funding, the first instalment is due by 31 October and can be paid through the portal.

For queries, contact the Finance Office on 0117 000 0001.

Finance Office"
"synth_58","Synthetic (LLM-generated for this project)","fictional","university","Bursary applications open","0","Student Support <support@avonside.ac.uk>","all students","Hardship fund applications now open","","Applications to the University Hardship Fund are now open. The fund supports students in unexpected financial difficulty. Information about eligibility and the application form are on the Student Support pages of the intranet. Applications are assessed monthly.

Student Support","Hardship fund applications now open Applications to the University Hardship Fund are now open. The fund supports students in unexpected financial difficulty. Information about eligibility and the application form are on the Student Support pages of the intranet. Applications are assessed monthly.

Student Support"
"synth_59","Synthetic (LLM-generated for this project)","fictional","university","Accommodation deposit return (legitimate)","0","Accommodation Office <accommodation@westmoor.ac.uk>","student","Deposit return – end of tenancy","","Dear resident,

Your tenancy ends on 30 June. Deposits will be returned to the bank account you registered when you accepted your room, within 28 days of the room inspection. You do not need to do anything. If your bank details have changed, update them in the accommodation portal before you move out.

Accommodation Office","Deposit return – end of tenancy Dear resident,

Your tenancy ends on 30 June. Deposits will be returned to the bank account you registered when you accepted your room, within 28 days of the room inspection. You do not need to do anything. If your bank details have changed, update them in the accommodation portal before you move out.

Accommodation Office"
"synth_60","Synthetic (LLM-generated for this project)","fictional","university","Timetable change (legitimate)","0","Timetabling <timetabling@avonside.ac.uk>","students on CS2041","Room change: CS2041 lecture moved to 2Q10","","Please note that from next week the Tuesday CS2041 lecture will take place in room 2Q10 instead of 2Q04. Your online timetable has been updated.

Timetabling Office","Room change: CS2041 lecture moved to 2Q10 Please note that from next week the Tuesday CS2041 lecture will take place in room 2Q10 instead of 2Q04. Your online timetable has been updated.

Timetabling Office"
"synth_61","Synthetic (LLM-generated for this project)","fictional","university","Teams meeting invite (legitimate)","0","Sarah Lewis <s.lewis@westmoor.ac.uk>","department","Departmental meeting – Wednesday 10am","","Hi all,

The next departmental meeting is on Wednesday at 10am in the boardroom, with a Teams link in the calendar invite for anyone working from home. Agenda items to me by Monday please.

Thanks,
Sarah","Departmental meeting – Wednesday 10am Hi all,

The next departmental meeting is on Wednesday at 10am in the boardroom, with a Teams link in the calendar invite for anyone working from home. Agenda items to me by Monday please.

Thanks,
Sarah"
"synth_62","Synthetic (LLM-generated for this project)","fictional","university","Shared document (legitimate)","0","Sarah Lewis <s.lewis@westmoor.ac.uk>","colleague","Draft programme review – comments welcome","","Hi Tom,

I've put the draft programme review in our shared Teams folder (Department > Reviews > 2026). Could you add your comments on the assessment section by Friday? Happy to talk it through if easier.

Sarah","Draft programme review – comments welcome Hi Tom,

I've put the draft programme review in our shared Teams folder (Department > Reviews > 2026). Could you add your comments on the assessment section by Friday? Happy to talk it through if easier.

Sarah"
"synth_63","Synthetic (LLM-generated for this project)","fictional","secondary school","IT ticket closed","0","IT Helpdesk <ithelpdesk@severnvaletrust.org.uk>","staff","Ticket #4821 resolved: projector in room 12","","Your ticket #4821 (projector in room 12 not connecting) has been marked as resolved. The HDMI cable has been replaced. If the problem continues, reply to this email to reopen the ticket.

IT Helpdesk","Ticket #4821 resolved: projector in room 12 Your ticket #4821 (projector in room 12 not connecting) has been marked as resolved. The HDMI cable has been replaced. If the problem continues, reply to this email to reopen the ticket.

IT Helpdesk"
"synth_64","Synthetic (LLM-generated for this project)","fictional","secondary school","Printing credit","0","Kingsmead College <reprographics@kingsmeadcollege.ac.uk>","students","Printing credit and reprographics hours","","Students can top up printing credit at the library desk (cash or card). Reprographics is open 8.15am–4pm Monday to Friday. Please allow 24 hours for large print jobs.

Reprographics","Printing credit and reprographics hours Students can top up printing credit at the library desk (cash or card). Reprographics is open 8.15am–4pm Monday to Friday. Please allow 24 hours for large print jobs.

Reprographics"
"synth_65","Synthetic (LLM-generated for this project)","fictional","secondary school","Software renewal (legitimate)","0","IT Helpdesk <ithelpdesk@severnvaletrust.org.uk>","art department","Adobe licences renewed for 2026/27","","The trust's Adobe Creative Cloud licences have been renewed for the coming year. No action is needed; existing sign-ins will continue to work. If any machine shows a licence warning, log a ticket.

IT Helpdesk","Adobe licences renewed for 2026/27 The trust's Adobe Creative Cloud licences have been renewed for the coming year. No action is needed; existing sign-ins will continue to work. If any machine shows a licence warning, log a ticket.

IT Helpdesk"
"synth_66","Synthetic (LLM-generated for this project)","fictional","secondary school","Internal vacancy","0","Severn Vale Academy Trust HR <hr@severnvaletrust.org.uk>","all staff","Internal vacancy: Assistant Head of Year","","An internal vacancy for Assistant Head of Year (Brookmere High School) has been advertised. The job description and application form are on the HR intranet. Closing date: Friday 10 October, 12 noon. Informal enquiries to the Headteacher.

HR Team","Internal vacancy: Assistant Head of Year An internal vacancy for Assistant Head of Year (Brookmere High School) has been advertised. The job description and application form are on the HR intranet. Closing date: Friday 10 October, 12 noon. Informal enquiries to the Headteacher.

HR Team"
"synth_67","Synthetic (LLM-generated for this project)","fictional","secondary school","Interview invitation","0","Brookmere High School <office@brookmerehigh.org.uk>","applicant","Interview: Teacher of Mathematics","","Dear Ms Moore,

Thank you for your application. We would like to invite you to interview on Wednesday 15 October. Please arrive at reception at 8.45am and bring photo ID and your original qualification certificates. The day will include a 30-minute lesson observation with Year 9; details of the topic are on the second page of this letter.

Please confirm your attendance by replying to this email or calling the school office.

Kind regards,
School Office","Interview: Teacher of Mathematics Dear Ms Moore,

Thank you for your application. We would like to invite you to interview on Wednesday 15 October. Please arrive at reception at 8.45am and bring photo ID and your original qualification certificates. The day will include a 30-minute lesson observation with Year 9; details of the topic are on the second page of this letter.

Please confirm your attendance by replying to this email or calling the school office.

Kind regards,
School Office"
"synth_68","Synthetic (LLM-generated for this project)","fictional","secondary school","CPD course","0","Severn Vale Academy Trust <cpd@severnvaletrust.org.uk>","all staff","CPD: Adaptive teaching – 22 October, 4pm","","A trust-wide CPD session on adaptive teaching will be held on Wednesday 22 October at 4pm at Oakfield Academy. Book through the CPD calendar on the intranet. Refreshments provided.

CPD Team","CPD: Adaptive teaching – 22 October, 4pm A trust-wide CPD session on adaptive teaching will be held on Wednesday 22 October at 4pm at Oakfield Academy. Book through the CPD calendar on the intranet. Refreshments provided.

CPD Team"
"synth_69","Synthetic (LLM-generated for this project)","fictional","secondary school","DBS renewal","0","Severn Vale Academy Trust HR <hr@severnvaletrust.org.uk>","staff member","DBS update service – annual check","","Dear colleague,

As part of our annual safeguarding checks, HR will carry out a status check on your DBS certificate through the Update Service this month. No action is needed from you unless we contact you.

HR Team","DBS update service – annual check Dear colleague,

As part of our annual safeguarding checks, HR will carry out a status check on your DBS certificate through the Update Service this month. No action is needed from you unless we contact you.

HR Team"
"synth_70","Synthetic (LLM-generated for this project)","fictional","secondary school","Fire drill","0","Brookmere High School <office@brookmerehigh.org.uk>","all staff","Fire drill this week","","There will be a fire drill at some point this week. Please remind your classes of the assembly point on the top field and take your register with you.

Site Team","Fire drill this week There will be a fire drill at some point this week. Please remind your classes of the assembly point on the top field and take your register with you.

Site Team"
"synth_71","Synthetic (LLM-generated for this project)","fictional","university","Phishing awareness (legitimate)","0","IT Services <itservices@westmoor.ac.uk>","all staff and students","Beware of fake 'password expiry' emails","","We are aware of phishing emails circulating that claim your university password is about to expire and ask you to 'keep your current password' via a link. These are not from IT Services. Please delete them or report them using the 'Report phishing' button in Outlook.

Genuine password reminders come only from your own account settings and never ask you to enter your password on an external site.

IT Services","Beware of fake 'password expiry' emails We are aware of phishing emails circulating that claim your university password is about to expire and ask you to 'keep your current password' via a link. These are not from IT Services. Please delete them or report them using the 'Report phishing' button in Outlook.

Genuine password reminders come only from your own account settings and never ask you to enter your password on an external site.

IT Services"
"synth_72","Synthetic (LLM-generated for this project)","fictional","secondary school","Lost property","0","Brookmere High School <office@brookmerehigh.org.uk>","parents and carers","Lost property – end of term","","A large amount of unnamed lost property has accumulated in reception. Please encourage your child to check it before the end of term. Unclaimed items will be donated to the PTA uniform sale.

School Office","Lost property – end of term A large amount of unnamed lost property has accumulated in reception. Please encourage your child to check it before the end of term. Unclaimed items will be donated to the PTA uniform sale.

School Office"
"synth_73","Synthetic (LLM-generated for this project)","fictional","secondary school","School photo day","0","Brookmere High School <office@brookmerehigh.org.uk>","parents and carers","School photographs – Tuesday 23 September","","Individual school photographs will be taken on Tuesday 23 September. Pupils should be in full uniform. Proof cards will be sent home with pupils about two weeks later, with details of how to order.

School Office","School photographs – Tuesday 23 September Individual school photographs will be taken on Tuesday 23 September. Pupils should be in full uniform. Proof cards will be sent home with pupils about two weeks later, with details of how to order.

School Office"
"synth_74","Synthetic (LLM-generated for this project)","fictional","secondary school","Cashless catering (legitimate)","0","Brookmere High School <office@brookmerehigh.org.uk>","parents and carers","Catering accounts – reminder","","A reminder that catering accounts should be kept in credit. You can check your child's balance and top up through ParentPay in the usual way. Pupils entitled to free school meals have their allowance added automatically each day.

School Office","Catering accounts – reminder A reminder that catering accounts should be kept in credit. You can check your child's balance and top up through ParentPay in the usual way. Pupils entitled to free school meals have their allowance added automatically each day.

School Office"
"synth_75","Synthetic (LLM-generated for this project)","fictional","secondary school","PE kit reminder","0","PE Department <pe@brookmerehigh.org.uk>","parents of Year 7","PE kit and outdoor lessons","","As the weather changes, please make sure your child has a warm layer for outdoor PE lessons. Full PE kit is required for every lesson; a note is needed if your child cannot take part.

PE Department","PE kit and outdoor lessons As the weather changes, please make sure your child has a warm layer for outdoor PE lessons. Full PE kit is required for every lesson; a note is needed if your child cannot take part.

PE Department"
"synth_76","Synthetic (LLM-generated for this project)","fictional","secondary school","Minibus booking","0","Site Team <site@brookmerehigh.org.uk>","staff","Minibus booking sheet","","The minibus booking sheet for the autumn term is now in the staffroom. Drivers must have completed the MIDAS assessment; see the site office if yours needs renewing.

Site Team","Minibus booking sheet The minibus booking sheet for the autumn term is now in the staffroom. Drivers must have completed the MIDAS assessment; see the site office if yours needs renewing.

Site Team"
"synth_77","Synthetic (LLM-generated for this project)","fictional","secondary school","Exam invigilator recruitment","0","Exams Office <exams@brookmerehigh.org.uk>","parents and community","Exam invigilators wanted","","We are recruiting exam invigilators for the summer exam season (May–June). Training is provided and hours are flexible. If you are interested, please contact the Exams Office via the school office for an application pack.

Exams Office","Exam invigilators wanted We are recruiting exam invigilators for the summer exam season (May–June). Training is provided and hours are flexible. If you are interested, please contact the Exams Office via the school office for an application pack.

Exams Office"
"synth_78","Synthetic (LLM-generated for this project)","fictional","university","Graduation registration","0","Graduation Office <graduation@westmoor.ac.uk>","final-year students","Register for your graduation ceremony","","Registration for the winter graduation ceremonies is open in the student portal until 31 October. Guest tickets are £15 each. Gown hire is arranged separately through the supplier linked from the portal. Ceremony dates and times are on the graduation web pages.

Graduation Office","Register for your graduation ceremony Registration for the winter graduation ceremonies is open in the student portal until 31 October. Guest tickets are £15 each. Gown hire is arranged separately through the supplier linked from the portal. Ceremony dates and times are on the graduation web pages.

Graduation Office"
"synth_79","Synthetic (LLM-generated for this project)","fictional","university","Research ethics approval","0","Research Ethics Committee <ethics@avonside.ac.uk>","researcher","Ethics application REC-2026-118 approved","","Dear Ms Ercsei,

Your ethics application REC-2026-118 has been approved by Chair's action. Please quote this reference on participant information sheets. Any changes to the approved protocol must be submitted as an amendment.

Research Ethics Committee","Ethics application REC-2026-118 approved Dear Ms Ercsei,

Your ethics application REC-2026-118 has been approved by Chair's action. Please quote this reference on participant information sheets. Any changes to the approved protocol must be submitted as an amendment.

Research Ethics Committee"
"synth_80","Synthetic (LLM-generated for this project)","fictional","university","Lab safety","0","Technical Services <labs@avonside.ac.uk>","lab users","Chemistry lab access – induction required","","All new users of the second-floor chemistry laboratories must complete the safety induction before working unsupervised. Inductions run on Tuesdays and Thursdays at 2pm; sign up on the sheet outside the technicians' office.

Technical Services","Chemistry lab access – induction required All new users of the second-floor chemistry laboratories must complete the safety induction before working unsupervised. Inductions run on Tuesdays and Thursdays at 2pm; sign up on the sheet outside the technicians' office.

Technical Services"
